130	0	498.5	165.7	185.35	38.1	22.35	330.8	545.65	447.025	0
132	0	366	370.3	347.4	28.175	23.1875	337.9	569.4	462.925	485.0875
133	0	39.9	337.9	294.4	91.125	52.9875	408.5	395.35	476.4	0
134	0	2.9	403.7	198.4	19.9	28.1625	468.7	577.1	524.625	606.525
136	0	0	318	158.85	29.8	36.4375	455.9	366.95	531.475	0.825
156	0	20	509.3	255	57.975	83.6	423.4	548.55	623.6	0.825
158	0	2.9	363.5	399.65	71.2	73.7375	502.6	551.85	579.225	0
162	0	20	671.8	307.85	110.95	68.7	634.9	518.65	615.575	576.925
166	0	0	687.5	403.75	96.075	48.8625	502.6	341.25	583.575	0
168	0	0	568.7	319.85	48.025	42.2375	581.4	523.15	595.775	0.825
170	0	0	469.4	314.75	51.35	52.9875	535.7	499.45	590.625	0.825
172	0	8.5	601.4	261.45	49.675	37.2625	589.1	531.6	241.85	0
173	0	0	608.2	333.5	61.25	53.0125	667.7	553.2	638.9	590.175
176	0	0	667.8	248.45	81.175	71.2	615	546.65	129.1	2.475
180	0	0	510.4	264.95	62.925	51.3375	624.4	589.4	631.4	609.8125
181	166.2	6.7	641.7	410.3	54.625	64.55	679.8	577.1	566.6	0.825
183	272.7	0	663	327.6	53	71.1875	542.7	579.1	633.65	0
184	332.5	20	562.9	281.55	57.95	53.8125	634.8	599.4	636.6	0.825
186	272.8	0	641.2	364.05	81.1	45.525	708	559.1	537.325	1.65
188	358.8	0	568.8	327.35	52.975	67.9	703.8	566	600.1	0.825
189	319.2	6.7	736.2	407	147.3	85.275	621.5	549.65	588.5	0
191	379.2	0	648.9	386.7	119.2	79.5125	582	526.2	575.675	0.825
192	491.8	0	621.8	366.95	87.775	59.5875	594.4	615.95	553.8	0
193	525.3	0	580.8	459.6	54.65	83.6	646	774.5	586.05	0.825
194	0	0	700.7	427.05	77.825	73.65	595	593	618.875	0
196	299.3	6.7	605.1	406.6	57.95	67.8625	661.2	519.55	638.7	0
198	505.7	99.8	673.5	450.2	44.725	79.4625	529.2	572.75	213.475	0
199	445.3	59.9	588.5	419.9	86.15	68.7	667.6	572.15	500	0.825
200	685.3	0	673.8	470.25	89.4	89.1	656.1	592.5	470.2	0
202	584.5	59.9	596.9	430.45	76.175	68.6875	720.7	579.15	598.15	0.825
204	598.4	99.8	700.7	433.25	66.225	62.0875	645.2	380.8	597.325	0.825
205	478.4	99.8	660.9	426.45	89.4	94.35	681	599.35	475.2	0
206	439	99.8	680.3	438.8	92.75	72.025	622.2	384.15	594.1	0.825
