Time	ejabberd-nolog-1	ejabberd-nolog-2	openfire-log-1	openfire-log-2	openfire-log-4	openfire-log-8	openfire-nolog-1	openfire-nolog-2	openfire-nolog-4	openfire-nolog-8
166	0	0	146.9	126.5	140.075	80.0875	128.2	178.45	116.5	48
168	0	0	145.5	171.85	93.975	66.25	191.7	191.3	115.675	51.2625
170	0	0	178.5	156.7	95.125	76.1	188.5	166.95	135.475	42.8375
172	8.5	0	138.7	155.75	100.8	82.6875	167.4	166.05	101.8	61.9375
174	0	0	137.9	141.3	96	83.5625	172	163.4	104.225	62.8
176	0	0	130.2	149.75	107.525	71.1625	147.4	166.35	131.975	53.6875
180	0	0	132.3	198.25	125.025	54.4125	165.3	168.65	124.925	72.6625
181	6.7	166.2	112.4	152.9	162.8	104.2125	184.3	175.4	152.1	73.6875
183	0	272.7	125.8	173.55	120.2	98.0625	189.3	151.45	103.9	73.4375
185	46.6	319.1	173.9	155.65	120.5	87.5625	122.6	139.85	168.525	89.3375
187	6.7	6.7	132.2	190.15	151.5	92.75	97	160.7	183.9	98.9875
188	0	358.8	145.6	176.25	130.75	87.6125	109.4	156.3	131.25	80.1375
190	6.7	319.4	194.5	165.05	176.275	95.6875	151.9	166.25	137.7	76.925
191	0	379.2	130.2	137.15	123.75	95.1375	129.3	198.45	150.875	74.0375
192	0	491.8	129.9	190.9	164.225	111.7875	198.3	173.6	143.975	66.025
193	0	525.3	171.9	148.8	131.75	77.725	151.3	169.5	171.775	102.525
195	6.6	472	136.2	181.75	136.95	81.0875	145.6	162.15	147.15	91.9875
196	6.7	299.3	130.7	175.25	160.25	90.9375	185.1	176.8	145.55	70.6875
198	99.8	505.7	132.2	142.1	168	74.0125	139.5	179.3	136.25	80.925
199	59.9	445.3	120.9	175.25	143.85	124.025	171.9	188.55	184.175	75.3375
201	0	0	132.3	192.35	161.65	137.0375	123.9	174.6	160.025	102.2625
202	59.9	584.5	110.5	162.4	138.525	99.6	135.3	182	151.325	92.475
204	99.8	598.4	105.8	149.25	182.2	78.075	145.5	120.85	160.15	118.8125
206	99.8	439	158	150.9	147.175	94.65	143.2	199.25	154.475	86.4875
207	99.8	678.2	130.9	127.4	133.175	72.8625	186.8	163.65	164.55	72.6625
209	99.8	572.2	191.6	155.85	137.175	95.8875	124.9	152	156.35	83
211	99.8	718.3	119	183.75	141.35	87.6125	171.9	185.6	177.7	90.05
213	99.8	704.8	150.2	148.3	161.2	95.6875	115.8	195.2	144.025	72.775
215	99.8	99.8	156.5	159	170.325	111.7875	145.2	171	174.825	83.6625
217	106.5	558.9	121.3	152.1	134.2	104.2625	165.3	186.9	171.65	74.0375
219	99.8	565.6	145.4	168.65	133.975	85.15	158.8	155.5	158.725	102.525
221	0	725	150.3	145.55	169.75	112.1	188.5	144.5	158.35	88.5625
223	133	731.3	124.9	150.8	139.45	124.025	145.5	181.15	115.325	100.5375
224	99.8	711.8	115	162.05	138.925	90.7875	145.6	146.15	183.9	94.325
225	106.4	744.7	125.3	134.05	155.375	137.0375	168.2	143.55	171.15	110.175
227	99.8	685.3	110.9	178.6	92.3	106.175	132.3	192.45	133.025	95.7125
229	99.8	99.8	102.1	152.75	182.275	83.225	152.4	166.85	107.625	115.175
231	99.8	731.5	111.6	164.8	140.525	96.0125	137	178.1	176.4	118.8125
233	99.8	784.8	158.8	182.55	85.425	130.1	152.1	169.45	170.25	86.4875
235	99.8	671.6	163.8	158.15	127.375	63.5875	136.8	183.15	184.175	79.7125
237	99.8	658	158.7	190.15	162.8	67.875	145.5	153.95	176.225	81.0875
239	99.8	598.6	113.1	153.7	109.85	103.975	158.7	175.35	172.05	110.625
241	99.8	745.2	143.7	172	138.925	77.725	131.8	168.65	187.825	93.1875
243	99.8	99.8	157.7	148.8	151.5	86.6125	171	196.25	180.975	83.5625
245	99.8	756.5	125.6	140.7	104.2	71.8125	158.7	145.1	26.4	75.95
247	99.8	585.4	130.6	183.2	164.225	90.7875	127.1	158.8	31.275	88.225
249	106.5	725.2	132.2	192.55	167.75	81.65	130.5	127.6	177.3	100.5375
251	99.8	585.2	158.6	151.55	85.825	21.375	125.6	191.3	171.6	110.175
253	99.8	778	112.4	198.4	81.075	3.3	149.9	172.7	171.65	95.7125
255	99.8	718.1	158.8	137.55	178.575	8.275	191.8	174.85	168.75	87.175
257	99.8	99.8	119	154.85	192.95	0.825	158.7	163.1	157.05	22.3125
258	99.8	731.9	142.4	188.5	91.75	67.5	185.2	156.75	158.35	83.525
260	99.8	685	114.9	161.25	182.2	9.1	153.2	174	115.325	85.975
262	99.8	592.1	151.7	95.5	156.9	83.4375	132.2	155.65	127.025	10.75
264	99.8	99.8	116.2	162.05	65.3	61.625	132.3	180.9	133.025	10.775
266	99.8	591.9	158.8	164.05	170.15	80.2875	133.8	178	107.625	14.0375
267	99.8	738.1	104.7	164.7	183.85	70.125	191.8	176.75	113.475	75.0125
269	99.8	705.2	140.1	169.25	161.2	42.9875	140.9	173.35	67.85	82.5875
271	99.8	99.8	144.9	154.55	170.325	36.4	158.6	94.85	77.75	64.4125
273	99.8	704.8	138.1	156.65	59.55	19.85	104	166.25	64.4	63.475
275	99.8	259.3	152.1	162.1	66	21.375	131.9	148.85	57.75	56.275
276	99.8	671.6	105.3	158.1	156.725	3.3	191.7	115.8	61.2	62.8
278	99.8	711.8	120.6	191.6	144.575	0.825	167.4	178.6	19.875	55.3125
280	99.8	744.1	112.4	195.75	138.925	0.825	158.8	145.1	41.05	58.725
282	99.8	99.8	155	101.65	150	7.425	153.7	91.95	26.4	90.0625
284	99.8	638	121.9	180.6	146.65	9.1	145.4	152.7	31.275	22.3125
285	99.8	492.3	148.8	144.85	157.275	6.6125	200	182	19.9	20.7
287	106.5	698	103.2	161.35	158	6.625	200	176.9	44.65	15.6625
289	99.8	99.8	104.8	150.75	85.425	6.625	200	138.8	59.55	10.75
291	99.8	731.8	116.7	114.1	79.375	7.45	200	149.25	13.25	10.775
293	99.7	598.7	122.5	103.75	71.1	4.1375	200	95.4	51.3	14.0375
295	106.5	658.3	118.7	154.85	109.85	5.7875	200	181.55	0	18.2125
297	99.8	539	120.9	118.2	58.725	14.075	200	174.65	1.65	58.525
299	99.8	658.4	158.6	118.75	65.9	15.725	200	171.3	0	1.65
