Time	openfire_nolog_2	openfire_nolog_4	openfire_nolog_8
404	393.2	592.5	16.575
406	457.35	636.6	16.575
408	436.4	613.575	16.575
410	486.9	633	16.575
411	417.1	647.25	16.575
413	430.6	551.3	16.575
416	473.85	612.1	16.575
417	403.25	607.125	16.575
418	411.2	622.3	16.575
420	337.7	612	16.575
421	384.3	615.5	16.575
423	370.85	577.65	16.575
424	370.55	566.2	16.575
426	430.7	576.225	16.575
429	397.1	514.825	16.575
430	293.85	569.475	16.575
431	387.4	563.25	16.575
433	407.3	401.375	16.575
434	338.1	201.65	16.575
436	389.75	180.475	16.575
437	337.85	195.5	16.575
438	397.25	197.35	16.575
440	486.65	195.525	16.575
441	390.75	201.65	16.575
443	400	385.825	16.575
444	394.25	561.025	16.575
446	400	380.8	16.575
447	443	366.1	16.575
449	400	213.25	16.575
450	400	201.65	16.575
451	400	200	16.575
453	403.3	294.5	16.575
454	512.8	534.425	16.575
456	400.35	548.65	16.575
457	370.1	552.35	16.575
458	393.55	558.425	16.575
460	384.45	535.875	16.575
462	380.65	306.15	16.575
463	409.75	562.85	16.575
464	417.15	553.3	16.575
466	476.2	564.525	16.575
467	407.3	559.275	16.575
469	394.05	559.05	16.575
470	430.55	503.7	16.575
471	420.25	464.95	16.575
473	416.8	439.875	16.575
475	400.4	426.85	16.575
476	404.05	420.35	16.575
477	346.3	436.5	16.575
479	39.8	264.975	16.575
480	39.8	296.275	16.575
482	39.8	259.925	16.575
483	39.8	250.05	16.575
484	39.8	243.65	16.575
486	39.8	253.175	16.575
487	39.8	243.375	16.575
489	39.8	1.65	16.575
490	39.8	26.55	16.575
492	39.8	23.225	16.575
494	39.8	21.55	16.575
