Time	ejabberd-nolog-1	ejabberd-nolog-2	openfire-log-1	openfire-log-2	openfire-log-4	openfire-log-8	openfire-nolog-1	openfire-nolog-2	openfire-nolog-4	openfire-nolog-8
124	51.5	0.5	51.4	47.2	3.9	3.0125	5.2	24.25	3.45	3.4125
126	0.5	0.5	52.9	73.3	3.825	2.9875	5.5	26.95	3.45	3.35
128	0.5	0.5	53	49.5	6.125	2.9375	5.6	27.5	3.425	3.3
130	0.5	0.5	53.4	51.8	6.325	2.8625	6.8	31.5	3.475	3.2375
132	0.5	0.5	67.8	52.2	3.6	2.825	64.2	31.7	3.45	3.1625
134	0.5	0.5	57.6	52.5	3.6	2.7875	6.9	35.65	5.225	3.15
136	0.5	0.5	58.6	55	3.55	2.775	7.4	38.5	3.525	3.125
138	0.5	0.5	59.1	55.15	3.525	2.75	70	38.6	5.6	3.1
140	0.5	0.5	59.4	55.35	3.525	2.725	8.7	40.75	6.125	3.1125
142	0.5	0.5	59.8	71.8	3.475	2.725	10	41	3.575	3.1375
144	0.5	0.5	68.8	71.95	3.525	2.725	70.1	44.75	6.425	3.05
146	0.5	0.5	59.9	58.75	3.55	2.7125	14.6	44.9	3.675	3.025
148	0.5	0.5	69.3	72.5	3.55	2.7	16.3	45.45	3.7	3
149	0.5	0.5	59.9	60.15	7.525	2.725	19.2	45.7	3.8	3
151	0.5	0.5	60	62.1	3.6	2.7375	19.4	47.95	3.85	3
153	0.5	0.5	60.4	59.35	3.6	2.7625	22.8	48.05	3.85	3.0125
154	0.5	0.5	60.5	73.75	7.425	2.775	24.1	48.2	3.85	3.025
156	0.5	0.5	60.6	59.95	3.55	2.8	24.1	50.05	3.975	3.0375
158	0.5	0.5	61.3	61	7.625	2.8625	29.1	50.1	4.05	3.0375
160	0.5	0.5	61.9	75.35	7.925	2.9125	76.1	50.4	4.075	3.0375
162	0.5	0.5	62.2	61.9	7.975	3	31	52.5	4.45	3.05
164	0.5	0.5	73.8	63.05	8.225	3.1	33.5	52.75	4.75	3.05
166	0.5	86.7	66.3	63.2	4	3.1875	79.4	53.4	4.925	3.0875
168	0.5	0.5	66.4	64.5	8.4	3.325	35	54.1	5.125	3.1
170	0.5	0.5	66.7	67.85	4.25	3.4	41.2	54.2	5.175	3.1
172	0.5	0.5	67	68.5	4.575	3.4625	82.5	56.55	5.225	3.5125
174	0.5	0.5	67.8	68.65	4.775	3.6	41.4	56.85	5.35	3.5125
175	0.5	0.5	74.5	71.6	4.9	3.725	42.4	57.05	7.85	3.1375
177	0.5	0.5	68.2	72.6	8.875	3.725	42.5	57.65	5.6	3.15
179	0.6	0.6	68.2	73.3	8.925	3.8	46.5	57.95	6.125	3.1375
181	0.8	0.8	68.3	73.5	5.625	3.8375	47.3	58.25	8.15	3.1375
183	1.4	1.4	68.6	73.7	5.7	4.05	50.8	59.95	6.425	3.1875
185	2.2	2.2	77	74.05	5.775	4.075	51.1	60.25	8.175	3.675
