Time	openfire-nolog-2	openfire-nolog-4	openfire-nolog-8
551	0	1.5	0
552	0	1.5	0
553	0	0	0
555	0	0	0
556	0	0	0
557	0	0	0
558	0	0	0
559	0	0.25	0
560	0	1	0
561	0	1	0
562	0	1	0
564	0	0	0
566	0	0	0
568	0	0	0
570	0	0	0
572	0	0	0
573	0	0	0
575	0	0	0
577	0	0	0
578	0	0	0
579	0	0	0
581	0	0	0
582	0	0	0
583	0	0	0
585	0	0	0
586	0	0	0
587	0	0	0
588	0	0	0
590	0	0	0
591	0	0	0
592	0	0	0
593	0	0	0
595	0	0	0
596	0	0	0
597	0	0	0
599	0	0	0
601	0	0	6.625
602	0	0	219.75
604	0	0	0
605	0	0	19.25
607	0	0	42.5
609	0	0	41.25
610	0	0	19.25
612	0	0	0
614	0	0	0
616	0	0	0
617	0	0	0
618	0	0	0
620	0	0	0
622	0	0	0
624	0	0	0
625	0	0	0
626	0	0	0
628	0	0	0
630	0	0	512.75
632	0	0	0
633	0	0	0
634	0	0	0
635	0	0	0
637	0	0	0
639	0	0	439.5
640	0	0	0
641	0	0	0
642	0	0	0
644	0	0	100.5
646	0	0	0
648	0	0	0
650	0	0	254.25
651	0	0	0
653	0	0	0
655	0	0	0
657	0	0	0
659	0	0	0
661	0	0	0
663	0	0	468
665	0	0	0
667	0	0	0
669	0	0	0
672	0	0	0
673	0	0	53
675	0	0	0
677	0	0	120.5
680	0	0	0
681	0	0	1159.25
683	0	0	2176.5
685	0	0	0
687	0	0	71903.25
689	0	0	173294.25
691	0	0	24466.375
693	0	0	0
694	0	0	0
696	0	0	53
698	0	0	73.25
700	0	0	0
702	0	0	435.25
704	0	0	2888.75
706	0	0	538.25
708	0	0	73.25
710	0	0	0
712	0	0	0
713	0	0	181
715	0	0	0
717	0	0	2656.5
719	0	0	287
721	0	0	194784.25
723	0	0	0
725	0	0	181303.875
727	0	0	1703.25
729	0	0	0
732	0	0	106
734	0	0	5209.25
736	0	0	0
737	0	0	468
739	0	0	60
740	0	0	0
742	0	0	0
744	0	0	0
746	0	0	0
747	0	0	2214.75
748	0	0	0
750	0	0	1232.5
751	0	0	0
753	0	0	0
755	0	0	0
757	0	0	0
758	0	0	0
759	0	0	0
761	0	0	0
762	0	0	0
763	0	0	0
764	0	0	0
765	0	0	0
767	0	0	0
768	0	0	0
769	0	0	0
771	0	0	0
773	0	0	0
775	0	0	0
777	0	0	0.25
778	0	0	0.25
779	0	0	0
780	0	0	0
781	0	0	0
782	0	0	0
783	0	0	0.125
784	0	0	0.125
785	0	0	0
787	0	0	0
789	0	0	0
790	0	0	0
792	0	0	0
794	0	0	0
796	0	0	0
798	0	0	0
800	0	0	0
801	0	0	0
802	0	0	0
803	0	0	0
804	0	0	0
806	0	0	0
807	0	0	0
808	0	0	0
810	0	0	0
812	0	0	0
814	0	0	0
815	0	0	0
817	0	0	0.125
818	0	0	0
820	0	0	0
821	0	0	0
822	0	0	0
823	0	0	0
825	0	0	0
827	0	0	0.25
828	0	0	0.25
830	0	0	0
832	0	0	0
834	0	0	0
836	0	0	0
837	0	0	0
838	0	0	0
840	0	0	0
842	0	0	0
844	0	0	0
845	0	0	0
846	0	0	0
848	0	0	0
850	0	0	0
851	0	0	0
852	0	0	0
853	0	0	0
855	0	0	0
856	0	0	0
858	0	0	0
860	0	0	0
861	0	0	0
863	0	0	0
864	0	0	0
866	0	0	0
867	0	0	0.25
869	0	0	0
870	0	0	0
871	0	0	0
873	0	0	0
874	0	0	0
876	0	0	0
878	0	0	0
880	0	0	0
882	0	0	0
883	0	0	0
884	0	0	0
885	0	0	0
886	0	0	0
887	0	0	0
889	0	0	0
890	0	0	0
891	0	0	0
892	0	0	0
894	0	0	0
895	0	0	0
896	0	0	0
897	0	0	0
899	0	0	0
901	0	0	0
902	0	0	0
903	0	0	0
905	0	0	0
907	0	0	0
909	0	0	0
910	0	0	0
912	0	0	0.25
913	0	0	0.25
915	0	0	0
917	0	0	0
919	0	0	0
921	0	0	0
923	0	0	0
924	0	0	0
925	0	0	0
926	0	0	0
927	0	0	0
928	0	0	0
929	0	0	0
930	0	0	0
932	0	0	0
933	0	0	0
934	0	0	0
935	0	0	0
937	0	0	0
938	0	0	0
939	0	0	0
941	0	0	0
942	0	0	0
943	0	0	0
944	0	0	0
945	0	0	0
946	0	0	0
948	0	0	0
950	0	0	0
952	0	0	0
953	0	0	0
954	0	0	0
956	0	0	0
957	0	0	0
958	0	0	0
959	0	0	0
961	0	0	0
962	0	0	0
963	0	0	0
964	0	0	0
966	0	0	0
967	0	0	0
968	0	0	0
970	0	0	0
971	0	0	0
972	0	0	0
973	0	0	0
974	0	0	0
975	0	0	0
977	0	0	0
978	0	0	0
979	0	0	0
980	0	0	0
982	0	0	0
983	0	0	0
985	0	0	0
986	0	0	0
987	0	0	0
988	0	0	0
989	0	0	0
990	0	0	0
